0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 1024: 6.746390e-06
0: Size 2048: 7.021992e-06
0: Size 4096: 7.008587e-06
0: Size 8192: 6.747675e-06
0: Size 16384: 7.826869e-06
0: Size 32768: 8.452236e-06
0: Size 65536: 9.542466e-06
0: Size 131072: 1.193293e-05
0: Size 262144: 1.675295e-05
0: Size 524288: 2.933656e-05
0: Size 1048576: 6.256412e-05
0: Size 2097152: 1.226043e-04
0: Size 4194304: 1.098799e-03
0: Size 8388608: 4.778200e-03
0: Size 16777216: 1.034005e-02
0: Size 33554432: 2.363746e-02
0: Size 67108864: 5.242377e-02
0: Size 134217728: 1.083177e-01
0: Size 268435456: 3.266350e-01
0: Size 536870912: 6.539676e-01
0: 
0: Active Procs: 32
0: Rank 0 sending to 36
0: Size 1: 4.002578e-06
0: Size 2: 3.975716e-06
0: Size 4: 3.968287e-06
0: Size 8: 3.976270e-06
0: Size 16: 4.004493e-06
0: Size 32: 4.038078e-06
0: Size 64: 4.199531e-06
0: Size 128: 4.272956e-06
0: Size 256: 6.201581e-06
0: Size 512: 6.685925e-06
0: Size 1024: 6.801056e-06
0: Size 2048: 6.874408e-06
0: Size 4096: 6.756097e-06
0: Size 8192: 6.417352e-06
0: Size 16384: 7.856200e-06
0: Size 32768: 8.632868e-06
0: Size 65536: 9.676071e-06
0: Size 131072: 1.235189e-05
0: Size 262144: 1.651047e-05
0: Size 524288: 2.943795e-05
0: Size 1048576: 6.270292e-05
0: Size 2097152: 1.228504e-04
0: Size 4194304: 1.230437e-03
0: Size 8388608: 5.676757e-03
0: Size 16777216: 1.218453e-02
0: Size 33554432: 2.554460e-02
0: Size 67108864: 5.477570e-02
0: Size 134217728: 1.180003e-01
0: Size 268435456: 3.483515e-01
0: Size 536870912: 6.953633e-01
0: 
0: Active Procs: 36
0: Rank 0 sending to 36
0: Size 1: 4.003022e-06
0: Size 2: 3.987547e-06
0: Size 4: 3.986731e-06
0: Size 8: 3.985575e-06
0: Size 16: 4.016772e-06
0: Size 32: 4.034439e-06
0: Size 64: 4.190413e-06
0: Size 128: 4.261899e-06
0: Size 256: 6.235045e-06
0: Size 512: 6.522083e-06
0: Size 1024: 6.774225e-06
0: Size 2048: 7.056168e-06
0: Size 4096: 7.024437e-06
0: Size 8192: 6.645123e-06
0: Size 16384: 7.858098e-06
0: Size 32768: 8.650200e-06
0: Size 65536: 9.741875e-06
0: Size 131072: 1.230410e-05
0: Size 262144: 1.628321e-05
0: Size 524288: 2.951986e-05
0: Size 1048576: 6.273520e-05
0: Size 2097152: 1.229166e-04
0: Size 4194304: 1.244020e-03
0: Size 8388608: 5.783142e-03
0: Size 16777216: 1.204914e-02
0: Size 33554432: 2.711889e-02
0: Size 67108864: 5.616705e-02
0: Size 134217728: 1.180238e-01
0: Size 268435456: 3.491184e-01
0: Size 536870912: 6.961401e-01
0: 
0: Off-Node MultiProc Ping-Pong:
0: Active Procs: 1
0: Rank 0 sending to 72
0: Size 1: 3.768370e-06
0: Size 2: 3.770490e-06
0: Size 4: 3.769842e-06
0: Size 8: 3.767811e-06
0: Size 16: 3.773435e-06
0: Size 32: 3.775624e-06
0: Size 64: 3.771284e-06
0: Size 128: 4.878474e-06
0: Size 256: 5.090468e-06
0: Size 512: 5.139435e-06
0: Size 1024: 5.240436e-06
0: Size 2048: 5.446719e-06
0: Size 4096: 5.700834e-06
0: Size 8192: 6.257715e-06
0: Size 16384: 6.959304e-06
0: Size 32768: 1.332942e-05
0: Size 65536: 1.719323e-05
0: Size 131072: 2.444135e-05
0: Size 262144: 3.591505e-05
0: Size 524288: 5.384797e-05
0: Size 1048576: 9.632998e-05
0: Size 2097152: 1.831758e-04
0: Size 4194304: 3.561534e-04
0: Size 8388608: 7.017917e-04
0: Size 16777216: 1.392883e-03
0: Size 33554432: 2.775697e-03
0: Size 67108864: 5.538582e-03
0: Size 134217728: 1.106416e-02
0: Size 268435456: 2.211544e-02
0: Size 536870912: 4.421607e-02
0: 
0: Active Procs: 2
0: Rank 0 sending to 72
0: Size 1: 3.788726e-06
0: Size 2: 3.773543e-06
0: Size 4: 3.774344e-06
0: Size 8: 3.774853e-06
0: Size 16: 3.780335e-06
0: Size 32: 3.782983e-06
0: Size 64: 3.778701e-06
0: Size 128: 4.889181e-06
0: Size 256: 5.135852e-06
0: Size 512: 5.209721e-06
0: Size 1024: 5.266028e-06
0: Size 2048: 5.510184e-06
0: Size 4096: 5.768807e-06
0: Size 8192: 6.354281e-06
0: Size 16384: 7.101741e-06
0: Size 32768: 1.392547e-05
0: Size 65536: 1.883757e-05
0: Size 131072: 2.515665e-05
0: Size 262144: 3.635658e-05
0: Size 524288: 5.891648e-05
0: Size 1048576: 1.036817e-04
0: Size 2097152: 1.936046e-04
0: Size 4194304: 3.734084e-04
0: Size 8388608: 7.331089e-04
0: Size 16777216: 1.452610e-03
0: Size 33554432: 2.894883e-03
0: Size 67108864: 5.777899e-03
0: Size 134217728: 1.157147e-02
0: Size 268435456: 2.325601e-02
0: Size 536870912: 4.717251e-02
0: 
0: Active Procs: 4
0: Rank 0 sending to 72
0: Size 1: 3.797291e-06
0: Size 2: 3.782327e-06
0: Size 4: 3.777992e-06
0: Size 8: 3.780878e-06
0: Size 16: 3.786000e-06
0: Size 32: 3.788094e-06
0: Size 64: 3.782856e-06
0: Size 128: 4.900938e-06
0: Size 256: 5.142496e-06
0: Size 512: 5.211557e-06
0: Size 1024: 5.289674e-06
0: Size 2048: 5.538795e-06
0: Size 4096: 5.832683e-06
0: Size 8192: 6.458400e-06
0: Size 16384: 7.292928e-06
0: Size 32768: 1.545586e-05
0: Size 65536: 1.976832e-05
0: Size 131072: 2.721092e-05
0: Size 262144: 4.861109e-05
0: Size 524288: 9.660214e-05
0: Size 1048576: 2.163163e-04
0: Size 2097152: 3.958814e-04
0: Size 4194304: 7.541026e-04
0: Size 8388608: 1.437447e-03
0: Size 16777216: 2.875606e-03
0: Size 33554432: 5.754144e-03
0: Size 67108864: 1.152331e-02
0: Size 134217728: 2.310845e-02
0: Size 268435456: 4.645383e-02
0: Size 536870912: 9.406273e-02
0: 
0: Active Procs: 8
0: Rank 0 sending to 72
0: Size 1: 3.824971e-06
0: Size 2: 3.793683e-06
