0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 16777216: 1.203645e-02
0: Size 33554432: 2.683198e-02
0: Size 67108864: 5.639729e-02
0: Size 134217728: 1.194361e-01
0: Size 268435456: 3.469411e-01
0: Size 536870912: 6.930701e-01
0: 
0: Off-Node MultiProc Ping-Pong:
0: Active Procs: 1
0: Rank 0 sending to 72
0: Size 1: 4.359134e-06
0: Size 2: 4.363921e-06
0: Size 4: 4.361571e-06
0: Size 8: 4.363041e-06
0: Size 16: 4.366381e-06
0: Size 32: 4.370255e-06
0: Size 64: 4.368809e-06
0: Size 128: 5.479007e-06
0: Size 256: 5.717991e-06
0: Size 512: 5.767236e-06
0: Size 1024: 5.863586e-06
0: Size 2048: 6.055713e-06
0: Size 4096: 6.272955e-06
0: Size 8192: 7.027898e-06
0: Size 16384: 8.273907e-06
0: Size 32768: 1.514154e-05
0: Size 65536: 1.823236e-05
0: Size 131072: 2.403515e-05
0: Size 262144: 3.465765e-05
0: Size 524288: 5.567907e-05
0: Size 1048576: 9.920219e-05
0: Size 2097152: 1.856617e-04
0: Size 4194304: 3.585069e-04
0: Size 8388608: 7.040587e-04
0: Size 16777216: 1.395293e-03
0: Size 33554432: 2.778168e-03
0: Size 67108864: 5.541259e-03
0: Size 134217728: 1.106709e-02
0: Size 268435456: 2.211802e-02
0: Size 536870912: 4.421897e-02
0: 
0: Active Procs: 2
0: Rank 0 sending to 72
0: Size 1: 4.373446e-06
0: Size 2: 4.369977e-06
0: Size 4: 4.364367e-06
0: Size 8: 4.365400e-06
0: Size 16: 4.371725e-06
0: Size 32: 4.371646e-06
0: Size 64: 4.371786e-06
0: Size 128: 5.476632e-06
0: Size 256: 5.699654e-06
0: Size 512: 5.748571e-06
0: Size 1024: 5.852595e-06
0: Size 2048: 6.062567e-06
0: Size 4096: 6.316553e-06
0: Size 8192: 7.087266e-06
0: Size 16384: 8.321252e-06
0: Size 32768: 1.572136e-05
0: Size 65536: 1.996154e-05
0: Size 131072: 2.617991e-05
0: Size 262144: 3.805041e-05
0: Size 524288: 5.843866e-05
0: Size 1048576: 1.044228e-04
0: Size 2097152: 1.932608e-04
0: Size 4194304: 3.732265e-04
0: Size 8388608: 7.329389e-04
0: Size 16777216: 1.453604e-03
0: Size 33554432: 2.905027e-03
0: Size 67108864: 5.798675e-03
0: Size 134217728: 1.163616e-02
0: Size 268435456: 2.338459e-02
0: Size 536870912: 4.751899e-02
0: 
0: Active Procs: 4
0: Rank 0 sending to 72
0: Size 1: 4.410757e-06
0: Size 2: 4.394265e-06
0: Size 4: 4.393860e-06
0: Size 8: 4.396023e-06
0: Size 16: 4.401272e-06
0: Size 32: 4.401182e-06
0: Size 64: 4.398646e-06
0: Size 128: 5.500215e-06
0: Size 256: 5.717495e-06
0: Size 512: 5.766670e-06
0: Size 1024: 5.878237e-06
0: Size 2048: 6.112026e-06
0: Size 4096: 6.408041e-06
0: Size 8192: 7.187967e-06
0: Size 16384: 8.509576e-06
0: Size 32768: 1.638343e-05
0: Size 65536: 2.068320e-05
0: Size 131072: 2.732038e-05
0: Size 262144: 4.503126e-05
0: Size 524288: 9.009323e-05
0: Size 1048576: 1.797144e-04
0: Size 2097152: 3.593615e-04
0: Size 4194304: 7.186496e-04
0: Size 8388608: 1.437604e-03
0: Size 16777216: 2.876057e-03
0: Size 33554432: 5.797353e-03
0: Size 67108864: 1.161989e-02
0: Size 134217728: 2.327410e-02
0: Size 268435456: 4.681350e-02
0: Size 536870912: 9.455357e-02
0: 
0: Active Procs: 8
0: Rank 0 sending to 72
0: Size 1: 4.528166e-06
0: Size 2: 4.517324e-06
0: Size 4: 4.520430e-06
0: Size 8: 4.519178e-06
0: Size 16: 4.529819e-06
0: Size 32: 4.526796e-06
0: Size 64: 4.534941e-06
0: Size 128: 5.587743e-06
0: Size 256: 5.813972e-06
0: Size 512: 5.884179e-06
0: Size 1024: 5.991694e-06
0: Size 2048: 6.242565e-06
0: Size 4096: 6.634101e-06
0: Size 8192: 7.497336e-06
0: Size 16384: 9.346939e-06
0: Size 32768: 1.955069e-05
0: Size 65536: 2.546192e-05
0: Size 131072: 4.547857e-05
0: Size 262144: 9.010156e-05
0: Size 524288: 1.798853e-04
0: Size 1048576: 3.594109e-04
0: Size 2097152: 7.190133e-04
0: Size 4194304: 1.437252e-03
0: Size 8388608: 2.874601e-03
0: Size 16777216: 5.781488e-03
0: Size 33554432: 1.158168e-02
0: Size 67108864: 2.319315e-02
0: Size 134217728: 4.651080e-02
0: Size 268435456: 9.346388e-02
0: Size 536870912: 1.885468e-01
0: 
0: Active Procs: 16
0: Rank 0 sending to 72
0: Size 1: 4.825625e-06
0: Size 2: 4.810993e-06
0: Size 4: 4.805187e-06
0: Size 8: 4.811224e-06
0: Size 16: 4.812674e-06
0: Size 32: 4.822990e-06
0: Size 64: 4.840730e-06
0: Size 128: 5.887917e-06
0: Size 256: 6.068929e-06
0: Size 512: 6.126058e-06
0: Size 1024: 6.273525e-06
0: Size 2048: 6.522606e-06
0: Size 4096: 7.039320e-06
0: Size 8192: 8.594020e-06
0: Size 16384: 1.130627e-05
0: Size 32768: 2.445005e-05
0: Size 65536: 4.564462e-05
0: Size 131072: 9.060248e-05
0: Size 262144: 1.802431e-04
0: Size 524288: 3.604741e-04
0: Size 1048576: 7.194825e-04
0: Size 2097152: 1.437430e-03
0: Size 4194304: 2.881125e-03
0: Size 8388608: 5.775592e-03
0: Size 16777216: 1.157052e-02
0: Size 33554432: 2.315697e-02
0: Size 67108864: 4.636521e-02
0: Size 134217728: 9.299474e-02
0: Size 268435456: 1.868254e-01
0: Size 536870912: 3.770163e-01
0: 
0: Active Procs: 32
0: Rank 0 sending to 72
0: Size 1: 4.942208e-06
0: Size 2: 4.938859e-06
0: Size 4: 4.942308e-06
0: Size 8: 4.938994e-06
0: Size 16: 4.954646e-06
0: Size 32: 4.946238e-06
0: Size 64: 4.952212e-06
