0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 32768: 1.976813e-05
0: Size 65536: 2.563185e-05
0: Size 131072: 4.549170e-05
0: Size 262144: 9.008734e-05
0: Size 524288: 1.799154e-04
0: Size 1048576: 3.594270e-04
0: Size 2097152: 7.186957e-04
0: Size 4194304: 1.438167e-03
0: Size 8388608: 2.880486e-03
0: Size 16777216: 5.779897e-03
0: Size 33554432: 1.158409e-02
0: Size 67108864: 2.317052e-02
0: Size 134217728: 4.653022e-02
0: Size 268435456: 9.354848e-02
0: Size 536870912: 1.885421e-01
0: 
0: Active Procs: 16
0: Rank 0 sending to 72
0: Size 1: 4.827066e-06
0: Size 2: 4.808945e-06
0: Size 4: 4.799374e-06
0: Size 8: 4.813402e-06
0: Size 16: 4.852941e-06
0: Size 32: 4.823449e-06
0: Size 64: 4.827001e-06
0: Size 128: 5.891716e-06
0: Size 256: 6.076021e-06
0: Size 512: 6.133069e-06
0: Size 1024: 6.268937e-06
0: Size 2048: 6.514196e-06
0: Size 4096: 7.033908e-06
0: Size 8192: 8.559316e-06
0: Size 16384: 1.137345e-05
0: Size 32768: 2.449254e-05
0: Size 65536: 4.567323e-05
0: Size 131072: 9.060738e-05
0: Size 262144: 1.800870e-04
0: Size 524288: 3.597316e-04
0: Size 1048576: 7.192646e-04
0: Size 2097152: 1.437168e-03
0: Size 4194304: 2.884898e-03
0: Size 8388608: 5.772705e-03
0: Size 16777216: 1.156893e-02
0: Size 33554432: 2.315504e-02
0: Size 67108864: 4.637520e-02
0: Size 134217728: 9.297595e-02
0: Size 268435456: 1.867965e-01
0: Size 536870912: 3.773732e-01
0: 
0: Active Procs: 32
0: Rank 0 sending to 72
0: Size 1: 4.932403e-06
0: Size 2: 4.942421e-06
0: Size 4: 4.930942e-06
0: Size 8: 4.937591e-06
0: Size 16: 4.969400e-06
